ID,Keywords,BPM Relevance,BPM Justification,BPM Lifecycle,Discussion
AWS.Region.1,Region selection,5,"Offensichtlich, das es am besten die nachhaltigste Region zu wählen die weiterhin meine KPIs erfüllen kann","Execution, Monitoring, Design",
AWS.Demand.1,Scaling,5,"Offensichtlich, ungenutzte Ressourcen sind verschwendete Ressourcen.","Execution, Monitoring, Modeling",
AWS.Demand.2,SLA,5,"Offensichtlich, wenn ich die SLAs bspw. relaxiere kann ich unter Umständen weniger REssourcen benötigen","Design, Monitoring, Optimization",
AWS.Demand.3,Scaling,5,"Offensichtlich, ungenutzte Ressourcen sind verschwendete Ressourcen.","Execution, Monitoring, Optimization",
AWS.Demand.4,"Region selection, Network",5,Nähe der Ressourcen zu kunden minimiert Netzwerk hops und somit nutzung von Netzwerkressourcen,"Execution, Design",
AWS.Demand.5,Devices,1,"Eher relevant für allgemeine Entwicklung, nicht speziell BPM",None,
AWS.Demand.6,Demand Shaping,5,Können Prozesse evtl. als Batch ummodelliert werden? Muss jede Request in einer neuen Prozessinstanz enden ? Kann ich mehrere Requests durch einen Task abarbeiten ?,"Modeling, Execution, Monitoring",
AWS.SWA.1,"Scaling, Asynchronous Communication",5,"Asynchrone Kommunikation mit den Workern entkoppelt die Systeme und ermöglicht abarbeiten nach eigenem Pace, aber auch gleichzeitig das Skalieren der WOrker um möglichst hohe Auslastung auf möglichst wenigen Ressourcen zuerreichn",Modeling,
AWS.SWA.2,Scaling,5,"Offensichtlich, ungenutzte Ressourcen sind verschwendete Ressourcen.","Modeling, Optimization",
AWS.SWA.3,Code Optimization,3,Eher Worker implementierungs spezifisch jedoch kann optimierung auch auf Ebene des Prozesses geschehen,Design,
AWS.SWA.4,Hardware selection,3,Reduktion der genutzen Hardware ist immer wichtig,"Design, Optimization",
AWS.SWA.5,Data management,3,Vermeiden von großen Datenmengen im Prozess ist sowieso Design Pattern,Design,
AWS.Data.1,Data storage,1,Eher allgemeine Relevanz,"Design, Modeling",
AWS.Data.2,Data storage,1,Eher allgemeine Relevanz,"Design, Modeling",
AWS.Data.3,Data lifecycle,3,"Historisierte Daten der Prozessinstanzen sind oft relevant, aber wie lange? Was ist mir Daten der Worker?","Design, Modeling",
AWS.Data.4,Scaling,1,Skalierung der Storage is eher allgemein relevant,"Execution, Modeling",
AWS.Data.5,Data management,1,Eher allgemeine Relevant,"Execution, Modeling",
AWS.Data.6,Data management,1,Eher allgemeine Relevant,Modeling,
AWS.Data.7,Data management,3,Kann ich Worker auf der selben DB arbeiten lassen? Reicht es wenn ich referenzen von worker zu worker gebe anstatt ganze datensätze ?,"Modeling, Execution",
AWS.Data.8,Data backups,1,Eher weniger BPM relevant,Modeling,
AWS.HWS.1,Hardware selection,3,"Offensichtlich, jedoch eher allgemein ?",Execution,
AWS.HWS.2,Hardware selection,3,"Offensichtlich, aber eher allgemein",Execution,
AWS.HWS.3,Service selection,4,Vielleicht worker direkt als FaaS anlegen anstatt selber zu hosten,"Execution, Modeling",
AWS.HWS.4,Hardware selection,1,Sehr implementierungsbezogen was worker angeht,Execution,
AWS.Dev.1,Development process,2,"Offensichtlich, jedoch eher allgemein ?",Design,
AWS.Dev.2,Maintenance process,4,"Offensichtlich, aber eher allgemein",Design,
AWS.Dev.3,Development process,2,"Offensichtlich, aber eher allgemein",Design,
AWS.Dev.4,Development process,2,Sehr implementierungsbezogen ,Modeling,
