RespondentID,ID,BPM Relevance,BPM Scope,Generic,BPM Justification,BPM Lifecycle,Discussion
claude-sustainability,MA.REL.1,2,"Worker/Task, Infrastructure/Platform",No,"Stopping repeated failing calls avoids burning compute and energy on retries that were never going to succeed, and since those retries happen inside the tasks a process invokes, this is a real (if task-level) sustainability lever for process execution, not just abstract resilience engineering.","Execution,Optimization",
claude-sustainability,MA.REL.2,2,"Worker/Task, Infrastructure/Platform",No,"Throttling during overload directly prevents the wasteful compute cascade of retries and backend thrashing, a concrete emissions-avoidance mechanism that kicks in exactly while process instances are executing.","Execution,Optimization",
claude-sustainability,MA.REL.3,2,"Worker/Task, Process Model",No,"Degrading gracefully instead of failing outright avoids triggering full recovery/retry cycles that consume extra energy, and a process could legitimately route around a degraded task, so there is a real process-level sustainability benefit here.",Execution,
claude-sustainability,MA.REL.4,3,"Infrastructure/Platform, Process Model",No,"Early failure detection shortens the window a system runs in a degraded, energy-wasting state, and process monitoring dashboards are exactly where this would surface for a workload, so it scores high.",Monitoring,
claude-sustainability,MA.REL.5,2,"Worker/Task, Infrastructure/Platform",No,"Bulkheading a failing dependency stops one bad integration from dragging the whole system into wasteful recovery churn, a genuine (if task-scoped) efficiency argument.",Execution,
claude-sustainability,MA.REL.6,2,"Infrastructure/Platform, Organizational/Governance",No,"Right-sizing redundancy to actual continuity needs directly avoids always-on idle infrastructure, one of the clearest carbon-waste sources in cloud estates, and it's set at design time for the systems that host business processes.",Design,
claude-sustainability,MA.REL.7,2,Infrastructure/Platform,No,"Unneeded multi-region replication doubles compute and data-transfer footprint continuously, so questioning it is a substantive sustainability lever, even though it's decided once at deployment design time.",Design,
claude-sustainability,MA.REL.8,2,"Worker/Task, Infrastructure/Platform",No,"Service-to-service chatter between microservices has a real, measurable energy cost, so weighing this tradeoff deliberately is a genuine efficiency decision, made at design time for the services a process will call.",Design,
claude-sustainability,MA.REL.9,2,Infrastructure/Platform,No,"Standby infrastructure that mirrors peak production scale sits idle most of the time, a textbook sustainability waste pattern, so right-sizing it is a real and quantifiable win even if it's an infrastructure decision.",Design,
claude-sustainability,MA.REL.10,2,"Process Data, Infrastructure/Platform",No,"Unreviewed backup and retention policies are a classic source of runaway storage growth and its associated carbon footprint, so periodic review is a concrete optimization lever, touching the process data that gets backed up.",Optimization,
claude-sustainability,MA.REL.11,3,"Process Model, Infrastructure/Platform",No,"Smoothing bursty demand through async processing is one of the most direct ways to cut peak infrastructure provisioning and its associated emissions, and this would be baked into the process model itself via event-based continuation.","Design,Modeling,Execution,Optimization",
claude-sustainability,MA.REL.12,3,"Process Model, Worker/Task, Infrastructure/Platform",No,"Queue-based decoupling stabilizes utilization and lets infrastructure run closer to steady-state efficiency instead of spiking, a strong sustainability pattern that is also literally how process engines hand work to workers.","Design,Execution,Optimization",
claude-sustainability,MA.REL.13,3,"Process Model, Infrastructure/Platform",No,"Batching is one of the highest-leverage sustainability patterns available, since it lets non-urgent work absorb into efficient, high-utilization compute windows rather than each item triggering separate resource activation.","Design,Optimization",
claude-sustainability,MA.REL.14,3,"Infrastructure/Platform, Process Model",No,"Overreactive autoscaling churns infrastructure up and down wastefully; tuning it is a direct, measurable emissions lever for whatever workload it governs, including orchestrated process workers.","Execution,Optimization",
claude-sustainability,MA.REL.15,2,Infrastructure/Platform,No,"Shared managed platforms achieve much higher utilization efficiency than dedicated infrastructure, a real sustainability gain, and it's a design-time hosting choice for whatever runs a workload.",Design,
claude-sustainability,MA.REL.16,1,Infrastructure/Platform,Yes,"Patching keeps you on the vendor's most efficient runtime builds, a modest but real ongoing efficiency gain; it's baseline hygiene rather than a design lever, so it isn't rated higher.",Not Applicable,
claude-sustainability,MA.REL.17,2,Infrastructure/Platform,No,"Overprovisioned tiers are one of the most common sources of idle-capacity waste in cloud estates, so matching tier to real demand is a substantive efficiency decision, even if it's an infrastructure choice.",Design,
claude-sustainability,MA.REL.18,2,Infrastructure/Platform,No,"Zombie resources consume energy for zero business value, arguably the purest form of avoidable waste in this whole guideline set, so this rates higher than a generic hygiene task.",Optimization,
claude-sustainability,MA.REL.19,2,Infrastructure/Platform,No,"Idle non-production environments running around the clock are pure waste; shutting them down when unused is a straightforward, high-value sustainability action.",Optimization,
claude-sustainability,MA.REL.20,1,Infrastructure/Platform,Yes,"Preferring shared hyperscale infrastructure over dedicated allocations improves utilization efficiency, but this is a straightforward provisioning default rather than a design decision with much nuance.",Not Applicable,
claude-sustainability,MA.REL.21,3,"Infrastructure/Platform, Process Model",No,"Same as REL.14: unstable autoscaling wastes energy in churn, and stabilizing it is a concrete, high-value efficiency lever for whatever workload it serves.","Execution,Optimization",
claude-sustainability,MA.REL.22,2,"Worker/Task, Infrastructure/Platform",No,"Spot capacity uses otherwise-idle datacenter capacity, a genuine efficiency win at the fleet level, worth scoring above a purely generic hosting choice.",Design,
