RespondentID,ID,BPM Relevance,BPM Scope,Generic,BPM Justification,BPM Lifecycle,Discussion
claude-sustainability,GCP.REGION.1,2,Infrastructure/Platform,Yes,"Knowing the hourly CFE percentage is foundational to real carbon accounting and feeds directly into where any workload, including a process engine, should run; still, this guideline itself is educational awareness of a metric rather than an action, so I stop short of the top score.",Design,
claude-sustainability,GCP.REGION.2,3,"Infrastructure/Platform, Organizational/Governance",Yes,"Locking in low-carbon regions and enforcing that choice with an organizational policy is one of the highest-leverage sustainability levers available to any organization running digital operations, process engines included -- this is core, not a stretch.",Design,
claude-sustainability,GCP.REGION.3,3,"Infrastructure/Platform, Process Model",Yes,"Shifting flexible compute to the cleanest hours of the grid is one of the most effective, well-evidenced carbon-reduction levers available, and it maps naturally onto scheduling logic in any system, process-driven or not -- a genuinely core practice.","Design,Execution,Optimization",
claude-sustainability,GCP.AIML.1,2,"Worker/Task, Infrastructure/Platform",Yes,"Purpose-built accelerators with far higher performance-per-watt are a genuine, well-documented energy lever for any ML-heavy workload; it's a hardware choice though, not a process-level decision, so I keep it below the top score.",Not Applicable,
claude-sustainability,GCP.AIML.2,2,"Worker/Task, Infrastructure/Platform",Yes,"The 4Ms (Model, Machine, Mechanization, Map) framework is a genuinely comprehensive way to cut ML carbon footprint, spanning model choice through region selection; methodologically strong, but it operates entirely at the task and infrastructure level, below any process.",Not Applicable,
claude-sustainability,GCP.AIML.3,2,Worker/Task,Yes,"Defaulting to the smallest adequate model is one of the single biggest levers for cutting AI energy use, since model size drives inference cost directly; still a task-level implementation choice, not a process one.",Not Applicable,
claude-sustainability,GCP.AIML.4,2,Worker/Task,Yes,"Specialized small models trained for a narrow domain reliably need far less compute than general foundation models -- a real and substantial efficiency gain, though confined to task implementation.",Not Applicable,
claude-sustainability,GCP.AIML.5,2,Worker/Task,Yes,"Pruning, quantization, and distillation measurably shrink model size and energy draw at inference time -- a solid technique, but internal to the model artifact itself.",Not Applicable,
claude-sustainability,GCP.AIML.6,2,"Worker/Task, Infrastructure/Platform",Yes,"Overlaps with the TPU guideline -- purpose-built ML accelerators give multi-fold performance-per-watt gains over general CPUs, a real efficiency lever, though still a hardware choice below the process layer.",Not Applicable,
claude-sustainability,GCP.AIML.7,1,Worker/Task,Yes,"LoRA-style fine-tuning cuts the energy of model adaptation substantially versus full fine-tuning, but this is a fairly narrow ML-engineering technique, so I don't rate it as highly as the broader resource-selection guidelines.",Not Applicable,
claude-sustainability,GCP.AIML.8,2,Worker/Task,Yes,"Early stopping and smarter hyperparameter search avoid genuinely wasted training compute -- a real, common source of overhead -- but this is entirely inside the ML training task.",Not Applicable,
claude-sustainability,GCP.AIML.9,2,Worker/Task,Yes,"Batching requests and multi-layer caching, including semantic caching, meaningfully cut repeated inference compute -- a proven, high-value pattern -- though it's scoped to a single ML-serving task, not the process around it.",Not Applicable,
claude-sustainability,GCP.AIML.10,3,Worker/Task,Yes,"Tracking token usage, energy, and carbon per AI workload is exactly the measurement discipline that makes any other optimization possible -- you can't manage what you don't measure -- so I rate this highly even though it's scoped to model-level workloads.",Monitoring,
claude-sustainability,GCP.AIML.11,3,"Infrastructure/Platform, Process Model",Yes,"Running ML pipeline jobs in the cleanest regions and time windows is core carbon-aware scheduling -- this is well-evidenced and among the most actionable practices in this whole guideline set, so it would earn a top score under any workload label.","Design,Execution,Optimization",
claude-sustainability,GCP.AIML.12,1,Worker/Task,Yes,"Using managed data-processing services to keep compute fed is a solid efficiency practice, but it's ML data-engineering plumbing rather than a distinctive sustainability lever on its own.",Not Applicable,
claude-sustainability,GCP.AIML.13,2,Worker/Task,Yes,Avoiding unnecessary retraining by monitoring for drift and redeploying only when needed is a genuine waste-avoidance practice with real energy savings at scale.,Monitoring,
claude-sustainability,GCP.AIML.14,1,Infrastructure/Platform,Yes,"Offloading resource tuning to a managed platform can reduce overprovisioning, but the sustainability benefit here is indirect and depends entirely on how well the platform itself is optimized.",Not Applicable,
claude-sustainability,GCP.RESOURCE.1,2,Infrastructure/Platform,Yes,"Scaling out with many small instances instead of one large one generally improves utilization and adapts to variable demand -- a solid general efficiency pattern, though the sustainability case depends on how well the added instances are actually utilized.",Not Applicable,
claude-sustainability,GCP.RESOURCE.2,2,Infrastructure/Platform,Yes,Scaling on application-specific signals instead of raw CPU avoids overprovisioning and the wasted energy that comes with it -- a meaningful but incremental efficiency gain.,Not Applicable,
claude-sustainability,GCP.RESOURCE.3,2,Infrastructure/Platform,Yes,"Combining scheduled and reactive autoscaling reduces both overprovisioning and scramble-scaling inefficiency -- solid, if incremental.",Not Applicable,
claude-sustainability,GCP.RESOURCE.4,1,Worker/Task,Yes,Externalizing session state enables more flexible instance scaling -- an indirect efficiency enabler rather than a direct carbon lever itself.,Not Applicable,
claude-sustainability,GCP.RESOURCE.5,3,"Infrastructure/Platform, Process Model",Yes,"Timing batch jobs to run in cleaner regions and windows using the Carbon Footprint report is a textbook, high-value carbon-aware scheduling practice.","Design,Execution,Optimization",
claude-sustainability,GCP.RESOURCE.6,1,Worker/Task,Yes,"Spot VMs reduce cost more directly than carbon; using discounted, often otherwise-idle capacity has a real but secondary sustainability angle, and only for fault-tolerant jobs.",Not Applicable,
claude-sustainability,GCP.RESOURCE.7,2,Process Model,Yes,"Batching similar jobs together to cut per-job startup and shutdown overhead is a genuine, evidence-backed efficiency pattern that reduces idle energy between jobs.","Design,Optimization",
claude-sustainability,GCP.RESOURCE.8,1,Infrastructure/Platform,Yes,"Letting managed services handle provisioning reduces idle capacity somewhat, but the sustainability payoff depends entirely on the underlying service's own efficiency, so I keep this modest.",Not Applicable,
claude-sustainability,GCP.RESOURCE.9,1,Infrastructure/Platform,Yes,Right-sizing the machine family to the actual workload profile avoids waste from mismatched hardware -- a sound if unglamorous efficiency practice.,Not Applicable,
claude-sustainability,GCP.RESOURCE.10,1,Infrastructure/Platform,Yes,Newer processor generations do generally offer meaningfully better performance-per-watt -- a real if incremental hardware-refresh lever.,Not Applicable,
claude-sustainability,GCP.RESOURCE.11,3,Infrastructure/Platform,Yes,"Scaling fully to zero when idle eliminates the always-on energy waste that plagues most deployed services -- one of the cleanest, most direct efficiency wins available for intermittent workloads.","Execution,Optimization",
claude-sustainability,GCP.RESOURCE.12,2,Infrastructure/Platform,Yes,"Bin-packing and pod autoscaling raise node utilization for whatever runs on the cluster -- a solid, broadly applicable efficiency gain.","Execution,Optimization",
claude-sustainability,GCP.RESOURCE.13,3,"Infrastructure/Platform, Process Model",Yes,Combining geographic and temporal shifting guided by real-time grid data is the most complete version of carbon-aware scheduling in this whole document -- squarely core.,"Design,Execution,Optimization",
claude-sustainability,GCP.RESOURCE.14,1,Infrastructure/Platform,Yes,"Keeping DR resources off or scaled to zero rather than warm-standby is a legitimate efficiency idea, though it trades off against recovery time, so I don't rate it as unambiguously high.",Not Applicable,
claude-sustainability,GCP.RESOURCE.15,1,Infrastructure/Platform,Yes,"Avoiding idle passive redundancy where active-active suffices is a sound efficiency principle, applied at the infrastructure-architecture level.",Design,
claude-sustainability,GCP.SOFTWARE.1,2,Worker/Task,Yes,"Removing unused features that add computational overhead without value is a real, underrated efficiency lever -- unused code paths still cost CPU cycles and maintenance carbon.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.2,1,Worker/Task,Yes,"Simplifying accumulated dead branches has a modest efficiency payoff, mostly through maintainability rather than direct runtime energy.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.3,1,Worker/Task,Yes,Deferring computation until actually needed avoids real wasted cycles -- a small but genuine efficiency technique.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.4,1,Worker/Task,Yes,Reducing duplicated logic mostly helps maintainability; any direct energy savings from DRY code itself are modest and indirect.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.5,1,Worker/Task,Yes,"Caching cuts repeated database queries and disk I/O -- a real, well-established efficiency pattern at the backend-service level.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.6,1,Worker/Task,Yes,Same caching logic applied to API results -- avoids real repeated network and compute cost.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.7,1,Worker/Task,Yes,"Favoring RAM-based caches over disk-backed ones is a genuine latency and energy win, though a fairly low-level one.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.8,1,Worker/Task,Yes,Choosing write-through vs write-back caching tunes read/write efficiency for a given workload -- solid but narrow technique.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.9,1,Worker/Task,Yes,"TTL, LRU, or LFU eviction keeps caches useful and avoids serving or storing stale data indefinitely -- a small, real hygiene practice.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.10,1,Worker/Task,Yes,"Choosing algorithms by real time and space complexity, not just observed runtime, is fundamental to minimizing energy per computation, though a general computer-science practice rather than a distinctive sustainability insight.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.11,1,Worker/Task,Yes,"Relying on optimized built-in functions instead of reimplementing them is a reliable, if modest, efficiency practice.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.12,1,Worker/Task,Yes,"Hash-based lookups over linear search cut energy per query meaningfully at scale -- a real, if very low-level, gain.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.13,1,Worker/Task,Yes,"Compact data structures lower power draw and can delay hardware refresh cycles -- a genuine, if incremental, efficiency lever.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.14,1,Worker/Task,Yes,Purpose-built structures for specific access patterns squeeze out real but small efficiency gains over general-purpose collections.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.15,2,"Process Model, Worker/Task",Yes,Replacing busy-wait polling with event-driven triggers eliminates genuinely wasted idle-cycle energy -- a well-documented and significant efficiency pattern in always-on systems.,"Design,Modeling",
claude-sustainability,GCP.SOFTWARE.16,1,Worker/Task,Yes,"Avoiding code patterns that pin the CPU at maximum frequency lets idle systems drop into low-power states -- real, if very hardware-adjacent.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.17,1,Worker/Task,Yes,"Non-blocking I/O frees compute for other work instead of idling on a blocked thread -- a real, if narrow, utilization gain.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.18,1,Worker/Task,Yes,Releasing memory proactively avoids resource bottlenecks that can force overprovisioning -- indirect but real.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.19,1,Worker/Task,Yes,"Buffering writes before flushing reduces frequent small disk operations, each of which carries real energy overhead.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.20,1,Worker/Task,Yes,Consolidating many small disk operations into fewer larger ones is a genuine efficiency pattern with measurable energy savings.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.21,1,Worker/Task,Yes,"Compressing stored data cuts the volume written and read, saving real disk and network energy at the cost of some CPU.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.22,1,"Process Data, Worker/Task",Yes,"Transferring only needed fields cuts real network energy cost, especially at high request volumes, though the effect per request is small.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.23,1,Worker/Task,Yes,"Fewer, more efficient round-trips via HTTP/3, GraphQL, or binary protocols reduce real network energy overhead, though the guideline is about protocol choice, not architecture.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.24,1,Worker/Task,Yes,Minification and asset compression reduce transfer size for every page load -- a small but multiplied-at-scale saving.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.25,1,Worker/Task,Yes,Loading assets only when needed avoids real wasted transfer for content users never scroll to.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.26,1,Worker/Task,Yes,Tree-shaking unused code cuts real transfer and parse cost on every page load.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.27,1,Worker/Task,Yes,"HTTP caching headers avoid genuinely repeated downloads on return visits -- a small, well-proven saving.",Not Applicable,
claude-sustainability,GCP.SOFTWARE.28,1,Worker/Task,Yes,Minimizing DOM churn reduces client-side CPU and battery use -- a real if end-user-side saving.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.29,1,"Infrastructure/Platform, Worker/Task",Yes,Static sites and PWAs need less server compute per request than heavier dynamic architectures -- a real if largely front-end-scoped saving.,Not Applicable,
claude-sustainability,GCP.SOFTWARE.30,1,Worker/Task,Yes,"Accessible, lean design tends to correlate with lower resource consumption, though the guideline's primary driver is UX, not sustainability, so I keep this modest.",Not Applicable,
claude-sustainability,GCP.STORAGE.1,2,Process Data,Yes,Eliminating needless dataset replication directly cuts storage energy and is one of the more actionable data-governance levers in this set.,Not Applicable,
claude-sustainability,GCP.STORAGE.2,2,Process Data,Yes,"Finding and removing unknown-value data copies is a real, often underestimated source of storage waste.",Not Applicable,
claude-sustainability,GCP.STORAGE.3,2,Worker/Task,Yes,"Sampling, aggregation, and synthetic data can preserve model performance while avoiding storage of unnecessarily large raw datasets -- a solid, if ML-specific, efficiency practice.",Not Applicable,
claude-sustainability,GCP.STORAGE.4,1,Process Data,Yes,Catching low-quality data at ingestion avoids storing and reprocessing it downstream -- a real if modest saving.,Not Applicable,
claude-sustainability,GCP.STORAGE.5,2,Process Data,Yes,"Periodically down-sampling high-volume logs and streams while preserving useful signal is a real, actionable storage-reduction practice.",Not Applicable,
claude-sustainability,GCP.STORAGE.6,2,Process Data,Yes,"Not backing up easily-regenerated data avoids real duplicated storage energy indefinitely -- a sound, underused practice.",Not Applicable,
claude-sustainability,GCP.STORAGE.7,2,Infrastructure/Platform,Yes,"Automating transitions to lower-carbon storage classes based on access pattern is a direct, well-supported storage-efficiency lever.",Not Applicable,
claude-sustainability,GCP.STORAGE.8,2,Process Data,Yes,"Automated TTL deletion of non-essential data is one of the more actionable, low-risk storage-reduction practices here.",Not Applicable,
claude-sustainability,GCP.STORAGE.9,1,Organizational/Governance,Yes,Consistent labeling enables the automated lifecycle management and emissions reporting that make other storage practices actionable at scale -- valuable but indirect.,Not Applicable,
claude-sustainability,GCP.STORAGE.10,2,Infrastructure/Platform,Yes,"Auditing disks and snapshots for overprovisioning is a real, common source of avoidable storage waste.",Not Applicable,
claude-sustainability,GCP.STORAGE.11,1,Process Data,Yes,"Columnar, compressed formats like Parquet cut disk footprint and improve read efficiency -- a solid, well-established data-engineering practice.",Not Applicable,
claude-sustainability,GCP.STORAGE.12,3,"Infrastructure/Platform, Organizational/Governance",Yes,"Storing data in cleaner-grid regions and enforcing it via policy is the storage-side twin of region selection for compute -- a direct, high-leverage carbon lever.",Design,
claude-sustainability,GCP.STORAGE.13,2,Infrastructure/Platform,Yes,"Limiting cross-region replication to genuine DR/HA needs avoids a real, often invisible source of doubled energy cost.",Design,
claude-sustainability,GCP.STORAGE.14,2,Infrastructure/Platform,Yes,Running compute where the data already lives avoids real cross-region transfer energy -- a well-established data-locality practice.,Not Applicable,
claude-sustainability,GCP.STORAGE.15,1,"Infrastructure/Platform, Organizational/Governance",Yes,"Directing external transfers through efficient services and cost-attribution mechanisms nudges good behavior, though the guideline's own sustainability content is thin.",Not Applicable,
claude-sustainability,GCP.MEASURE.1,1,Organizational/Governance,Yes,"Granting access to carbon data is a necessary enabling step, but it's pure IAM administration with no sustainability action embedded in it yet.",Not Applicable,
claude-sustainability,GCP.MEASURE.2,2,"Infrastructure/Platform, Process Data",Yes,"Getting Carbon Footprint data into BigQuery, aligned to the business-unit hierarchy, is the necessary plumbing for any serious carbon analysis program.",Not Applicable,
claude-sustainability,GCP.MEASURE.3,3,"Process Data, Organizational/Governance",Yes,"Tying emissions to a business-value unit like CO2e per transaction is exactly the kind of KPI that turns abstract carbon data into something an organization can manage against -- core sustainability-management practice, and one that would apply to any operational metric, not just BPM.","Monitoring,Analysis",
claude-sustainability,GCP.MEASURE.4,2,"Infrastructure/Platform, Process Data",Yes,"Breaking down emissions by project, region, and service is basic but essential hotspot-finding -- you can't act on carbon data you can't localize.",Analysis,
claude-sustainability,GCP.MEASURE.5,2,Organizational/Governance,Yes,"Location-based vs market-based accounting is a real methodological nuance that changes what a 'green region' actually means -- rigorous and worth getting right, but a measurement-methodology detail.",Analysis,
claude-sustainability,GCP.MEASURE.6,2,Process Data,Yes,"Joining carbon and billing data so decisions weigh both together is good practice, encouraging sustainability to be a first-class input to optimization rather than an afterthought.",Analysis,
claude-sustainability,GCP.MEASURE.7,2,Process Data,Yes,"Tagging carbon data with specific optimization events so the resulting reduction can be attributed is good causal-measurement discipline, letting teams learn what actually worked -- generically applicable good measurement hygiene.","Analysis,Optimization",
claude-sustainability,GCP.MEASURE.8,2,Infrastructure/Platform,Yes,"Removing unused projects is a real, immediately verifiable emissions win with essentially no downside.",Not Applicable,
claude-sustainability,GCP.MEASURE.9,2,Infrastructure/Platform,Yes,"Matching provisioned capacity to actual utilization, including machine-type choice for AI workloads, is one of the most reliable levers for cutting waste.",Not Applicable,
claude-sustainability,GCP.MEASURE.10,3,"Process Model, Infrastructure/Platform, Organizational/Governance",Yes,"Another instance of carbon-aware scheduling for batch workloads, backed by an organization-wide region policy -- a core, well-evidenced practice I'd rate highly every time it appears, regardless of the workload label.","Design,Execution,Optimization",
claude-sustainability,GCP.MEASURE.11,2,Process Data,Yes,"Governance-driven cold-storage migration or deletion of infrequently accessed data is a real, actionable storage-energy reduction.",Not Applicable,
claude-sustainability,GCP.MEASURE.12,2,Worker/Task,Yes,Fixing code-level inefficiencies that cause excessive resource use is foundational -- arguably underlies half the other guidelines in this document -- but it's still task-implementation work.,Not Applicable,
claude-sustainability,GCP.MEASURE.13,2,Organizational/Governance,Yes,"Standing up a formal function combining carbon and billing data in shared dashboards is exactly the organizational structure that makes sustained sustainability progress possible, rather than one-off wins.",Not Applicable,
claude-sustainability,GCP.MEASURE.14,2,Organizational/Governance,Yes,"Using verified, auditable carbon data for ESG disclosure is important for credibility, though it's a reporting and compliance use case rather than an operational efficiency practice.",Not Applicable,
