ID,Keywords,BPM Relevance,BPM Justification,BPM Lifecycle,Discussion
GSF.AI.1,"Data size, Storage size",0,"Größe von ML-Modellen wird nicht innerhalb des BPM Prozesses Relevanz haben, da ein gutes Prozessdesign keine ML Modelle vorhält sondern maximal Referenzen zu den Modellen die dann an die Worker weitergegeben werden",Modeling,
GSF.AI.2,Data format,1,"Begründung: Das Format verwendeter ML-Modelle sollte nicht relevant sein zum Design eines BPM Prozesses. Wenn überhaupt, sollte das Format relevant sein wenn ML-Modelle im Prozess weitergegeben werden",Modeling,
GSF.AI.3,"Edge Cloud, Data transfer",3,Je nach Fachdomäne kann es relevant sein das Worker und/oder Prozesse nicht im Hauptdatenzentrum/Cloud ausgeführt werden sondern eher nah am Anwendungsort bspw. in einer Edge Cloud,Execution,
GSF.AI.4,"Development environment, Frameworks",1,"Eher Out-of-Scope der hier zu erstellenden Richtlinie da es sich eher auf die Implementierung einzelner Artefakte bezieht, kann aber je nach Entwicklungsumgebung doch relevant werden",Modeling,
GSF.AI.5,Energy-efficient implementation,0,Verwendung energie-effizienter ML Modelle ist out-of-scope und bezieht sich eher auf die Implementierung einzelner Worker,Modeling,
GSF.AI.6,Region selection,3,"AI Training wird erstmal nicht viel BPM zu tun haben, jedoch ist die Nutzung von nachhaltigeren Cloudregionen wichtig","Modeling, Execution",
GSF.AI.7,Reuseability,0,Out-of-Scope,Modeling,
GSF.AI.8,Hardware selection,3,"Zwar ist AI Training nicht relevant, aber die Selektion der Hardware schon.","Modeling, Execution",
GSF.AI.9,Serverless Architecture,3,"AI nicht relevant in dem Kontext, aber Serverless Infrastructure/Architektur schon.","Modeling, Execution",
GSF.C.1,Data locality,3,User Task die graphisch ansprechend präsentiert werden sollen sollten in Clients vorgehalten werden anstatt von der Workflow Engine,"Execution,Modeling",
GSF.C.2,"Region selection, Network usage",5,Die Region in der die Workflows und Worker ausgeführt werden ist hoch relevant,Execution,
GSF.C.3,Message compression,3,Nachrichten zwischen Prozessen und Workern sollten komprimiert werden soweit es geht,Execution,
GSF.C.4,Data removal,3,Löschen von abgeschlossenen Prozessinstanzen kann Speicher und somit Strom sparen. Aber sehr Fach- und Kundenabhängig,"Execution, Monitoring",
GSF.C.5,Encryption,3,"Verschlüsselung ist sehr wichtig (Datenschutz), teilweise auch unumgänglich, jedoch ermöglicht es nachhaltiger zu werden wenn man es weglässt","Execution, Modeling",
GSF.C.6,CPU Selection,5,Wie eigentlich jede Anwendung sollten verschiedene CPUs beachtet werden,Execution,
GSF.C.7,TLS,3,Schwer zu schätzen da sehr Abhängig vom Use Case,Execution,
GSF.C.8,Stateless Design,5,"Allgemein sollte man möglichst stateless entwerfen, vielleicht sollte man versuch in Prozessen wirklich nur das nötigste im Prozess an variablen halten.",Modeling,
GSF.C.9,"SLO, SLA",5,Sollte eigentlich immer gemacht werden,"Design, Modeling, Optimization",
GSF.C.10,VM Rightsizing,5,Sollte man eigentlich immer gemacht werden für Nachhaltigkeit,"Optimization, Execution",
GSF.C.11,VM Rightsizing,5,Sollte eigentlich immer gemacht werden so dass Workflow Engine nicht unnötige Ressourcen verschwendet,Execution,
GSF.C.12,Deployment,5,"wenn möglich keine ganzen Workflow Engine instanzen deployen, also bspw. nicht alle Komponenten von Camunda, ist wichtig",Execution,
GSF.C.13,Storage Rightsizing,5,"Wie auch Compute, sollte Storage so weit optimiert werden dass SLO und SLAs erreicht werden ohne unnötige Ressourcen zu verschwenden",Execution,
GSF.C.14,CPU Utilization,5,"Wie bei allen anderen Anwendungssystemen sollte die CPU Auslastung optimal auf den Use Case angepasst werden. Schnelle Skalierbarkeit ermöglicht höhere CPU Auslastung pro Knoten somit weniger gesamt Knoten, langsamere Skalierung erfordert niedrigere Auslastung so dass potenzielle SLAs nicht gebrochen werden","Execution, Modeling",
GSF.C.15,Customer Devices,4,"Wenn Custom TaskList Clients gebaut werden, was nicht selten ist, sollten diese möglichst langanhaltend sein. Also nicht ständig neue Hardware benötigen","Design, Modeling",
GSF.C.16,CPU Utilization,5,"Einschätzen zu können welcher Prozess oder Worker wann die CPU am meisten auslastet ist natürlich wichtig und richtig, jedoch wird das nicht einfach.","Execution, Modeling",
GSF.C.17,"Message Queues, Batch processing",5,Batching von nicht relevanten Tasks/Messages kann hier helfen ständig einen ganzen Prozesskontext pro Message zu instanziieren,"Modeling, Design",
GSF.C.18,Message size,5,Selbst erklärend,"Execution, Modeling",
GSF.C.19,Unused Ressources,5,"Selbst erklärend wenn einem klar ist, das was ich nicht brauche loszuwerden (software bezogen nicht hardware) damit ich strom und somit CO2 spare","Execution, Monitoring",
