ID,Name,Category,Reference,Guideline
AWS.Region.1,Choose Region based on both business requirements and sustainability goals,Region Selection,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_region_a2.html,"Choose a Region for your workload based on both your business requirements and sustainability goals to optimize its KPIs, including performance, cost, and carbon footprint."
AWS.Demand.1,Scale workload infrastructure dynamically,Alignment to demand,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_user_a2.html,Use elasticity of the cloud and scale your infrastructure dynamically to match supply of cloud resources to demand and avoid overprovisioned capacity in your workload.
AWS.Demand.2,Align SLAs with sustainability goals,Alignment to demand,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_user_a3.html,Review and optimize workload service-level agreements (SLA) based on your sustainability goals to minimize the resources required to support your workload while continuing to meet business needs. 
AWS.Demand.3,"Stop the creation and maintenance of unused
  assets",Alignment to demand,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_user_a4.html,Decommission unused assets in your workload to reduce the number of cloud resources required to support your demand and minimize waste.
AWS.Demand.4,Optimize geographic placement of workloads based on their networking requirements,Alignment to demand,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_user_a5.html,Select cloud location and services for your workload that reduce the distance network traffic must travel and decrease the total network resources required to support your workload.
AWS.Demand.5,"Optimize team member resources for activities
  performed",Alignment to demand,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_user_a6.html,Optimize resources provided to team members to minimize the environmental sustainability impact while supporting their needs. 
AWS.Demand.6,Implement buffering or throttling to flatten the demand curve,Alignment to demand,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_user_a7.html,Buffering and throttling flatten the demand curve and reduce the provisioned capacity required for your workload.
AWS.SWA.1,"Optimize software and architecture for asynchronous
  and scheduled jobs",Software and Architecture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_software_a2.html,Use efficient software and architecture patterns such as queue-driven to maintain consistent high utilization of deployed resources.
AWS.SWA.2,"Remove or refactor workload components with low or
  no use",Software and Architecture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_software_a3.html,"Remove components that are unused and no longer required, and refactor components with little utilization to minimize waste in your workload."
AWS.SWA.3,"Optimize areas of code that consume the most time or
  resources",Software and Architecture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_software_a4.html,Optimize your code that runs within different components of your architecture to minimize resource usage while maximizing performance.
AWS.SWA.4,"Optimize impact on devices and
  equipment",Software and Architecture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_software_a5.html,Understand the devices and equipment used in your architecture and use strategies to reduce their usage. This can minimize the overall environmental impact of your cloud workload. 
AWS.SWA.5,"Use software patterns and architectures that best
  support data access and storage patterns",Software and Architecture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_software_a6.html,"Understand how data is used within your workload, consumed by your users, transferred, and stored. Use software patterns and architectures that best support data access and storage to minimize the compute, networking, and storage resources required to support the workload."
AWS.Data.1,Implement a data classification policy,Data Management,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_data_a2.html,Classify data to understand its criticality to business outcomes and choose the right energy-efficient storage tier to store the data.
AWS.Data.2,"Use technologies that support data access and
  storage patterns",Data Management,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_data_a3.html,Use storage technologies that best support how your data is accessed and stored to minimize the resources provisioned while supporting your workload. 
AWS.Data.3,Use policies to manage the lifecycle of your datasets,Data Management,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_data_a4.html,Manage the lifecycle of all of your data and automatically enforce deletion to minimize the total storage required for your workload.
AWS.Data.4,Use elasticity and automation to expand block storage or file system,Data Management,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_data_a5.html,Use elasticity and automation to expand block storage or file system as data grows to minimize the total provisioned storage.
AWS.Data.5,Remove unneeded or redundant data,Data Management,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_data_a6.html,Remove unneeded or redundant data to minimize the storage resources required to store your datasets. 
AWS.Data.6,"Use shared file systems or storage to access
  common data",Data Management,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_data_a7.html,Adopt shared file systems or storage to avoid data duplication and allow for more efficient infrastructure for your workload. 
AWS.Data.7,Minimize data movement across networks,Data Management,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_data_a8.html,Use shared file systems or object storage to access common data and minimize the total networking resources required to support data movement for your workload.
AWS.Data.8,Back up data only when difficult to recreate,Data Management,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_data_a9.html,Avoid backing up data that has no business value to minimize storage resources requirements for your workload. 
AWS.HWS.1,"Use the minimum amount of hardware to meet your
  needs",Hardware and services,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_hardware_a2.html,Use the minimum amount of hardware for your workload to efficiently meet your business needs.
AWS.HWS.2,Use instance types with the least impact,Hardware and services,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_hardware_a3.html,Continually monitor and use new instance types to take advantage of energy efficiency improvements.
AWS.HWS.3,Use managed services,Hardware and services,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_hardware_a4.html,Use managed services to operate more efficiently in the cloud.
AWS.HWS.4,Optimize your use of hardware-based compute accelerators,Hardware and services,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_hardware_a5.html,Optimize your use of accelerated computing instances to reduce the physical infrastructure demands of your workload.
AWS.Dev.0,Communicate and cascade your sustainability goals,Process and culture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_dev_a1.html,"IT teams should clearly understand the organization's sustainability targets and work to communicate and cascade those priorities across its operations."
AWS.Dev.1,"Adopt methods that can rapidly introduce
  sustainability improvements",Process and culture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_dev_a2.html,"Adopt methods and processes to validate potential improvements, minimize testing costs, and deliver small improvements."
AWS.Dev.2,Keep your workload up-to-date,Process and culture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_dev_a3.html,"Keep your workload up-to-date to adopt efficient features, remove issues, and improve the overall efficiency of your workload. "
AWS.Dev.3,Increase utilization of build environments,Process and culture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_dev_a4.html,"Increase the utilization of resources to develop, test, and build your workloads."
AWS.Dev.4,Use managed device farms for testing,Process and culture,https://docs.aws.amazon.com/wellarchitected/latest/sustainability-pillar/sus_sus_dev_a5.html,Use managed device farms to efficiently test a new feature on a representative set of hardware.
