ID,Name,Reference,Guideline
W3C.UX.4,Consider Sustainability in Early Ideation,https://w3c.github.io/sustyweb/#consider-sustainability-in-early-ideation,"While some things require the use of electricity, during the early ideation phase you could consider wireframing or rapid prototyping (using paper) among other offline tools to reduce energy consumption. Even the electronic versions of these may have a lower carbon cost than committing to building a full-blown experience for each idea."
W3C.UX.3,Research Non-Visitor's Needs,https://w3c.github.io/sustyweb/#research-non-visitor-s-needs,"If you provide physical goods or services, you may also have to account for the sustainability impact of delivery services. This can often be tricky, but courier companies may provide useful tooling to help you identify emissions data for routing."
W3C.UX.1,Undertake Systemic Impacts Mapping,https://w3c.github.io/sustyweb/#undertake-systemic-impacts-mapping,"Many variables can impact the user-experience, and a bunch of these can impact how sustainable your website will be. Attempting to identify where you can make a difference to the visitor and give them a more sustainable experience will be beneficial."
W3C.UX.5,Account for Stakeholder Issues,https://w3c.github.io/sustyweb/#account-for-stakeholder-issues,"Brainstorming allows you to flush out ideas before you commit to pursuing a path. Being considerate of not just your visitors but other individuals who may be affected by your product or service (including non-humans, like the environment!) is a useful practical exercise as it may influence your decisions in how you scope your project."
W3C.UX.2,Assess and Research Visitor Needs,https://w3c.github.io/sustyweb/#assess-and-research-visitor-needs,"When creating a product or service, identifying your target audience through user-research, analytics, data collected using ethical anonymous methods, or feedback from and with visitors is important in being able to create a customized service for and with them that is tailor-made for their specific preferences, adapted for any needs they may have, and particularly useful in helping a website or application evolve its service to meet sustainability targets."
W3C.UX.8,Ensure Navigation and Way-Finding Are Well-Structured,https://w3c.github.io/sustyweb/#ensure-navigation-and-way-finding-are-well-structured,"Information architecture is a central part of the Web development process, and how you structure a website ensures that people can way-find your content easily. Having appropriately marked-up links within your product or service allows visitors, search engines, and social networks to identify key information quickly."
W3C.UX.9,Respect the Visitor's Attention,https://w3c.github.io/sustyweb/#respect-the-visitor-s-attention,"Time is precious, wasting a visitor's will cause frustration and lead to abandonment or resentment. Additionally, the more time a visitor spends in front of a screen, the more energy they utilize. As such, throwing stuff in front of the visitor vying for their attention might sound like good business (even though we know due to banner blindness it rarely works), but it mostly damages the environment and dissuades the visitor."
W3C.UX.7,Avoid Unnecessary or an Overabundance of Assets,https://w3c.github.io/sustyweb/#avoid-unnecessary-or-an-overabundance-of-assets,"It's great to have a pretty-looking website or application but to ensure a sustainable design, it's important to avoid cluttering up the interface with too many visuals (which aren't necessary to the content). Keeping a clean design will reduce website rendering, and thereby emissions."
W3C.UX.11,Avoid Manipulative Patterns,https://w3c.github.io/sustyweb/#avoid-manipulative-patterns,"Manipulating the visitor into doing things you want them to is a short-term gain, long-term loss tactic tool. It's ethically bad, unsustainable, and should be avoided at all costs."
W3C.UX.6,Create a Frictionless Lightweight Experience by Default,https://w3c.github.io/sustyweb/#create-a-frictionless-lightweight-experience-by-default,"When providing the option to download, save, print, or access anything online, defaulting to the most lightweight, least featureful version will reduce emissions through passive browsing; with non-essential information removed from the screen either to be shown when it's required or eliminated."
W3C.UX.12,Document and Share Project Outputs,https://w3c.github.io/sustyweb/#document-and-share-project-outputs,"Everything produced by designers, developers, writers, and those involved with a project should be in an open format, well maintained, and curated in a common format (so everyone is working from the same model)."
W3C.UX.10,Use Recognized Design Patterns,https://w3c.github.io/sustyweb/#use-recognized-design-patterns,"Visitors can identify patterns fairly easily, and they like browsing websites and apps and feeling as if they know what they are dealing with. As such, focusing your efforts on producing a product or service that is clean and has key components in easy-to-recognize locations (and visuals) will allow faster user-experiences and fewer emissions."
W3C.UX.13,Use a Design System To Prioritize Interface Consistency,https://w3c.github.io/sustyweb/#use-a-design-system-to-prioritize-interface-consistency,"Design systems allow common components and patterns to be formalized and managed within a website or application. By using such a tool, designers and developers can avoid reinventing existing tooling and thereby reduce wasted time (and emissions)."
