ID,Name,Category,Reference,Guideline
GSF.AI.1,Optimize the size of AI/ML models,Artificial Intelligence (AI), https://patterns.greensoftware.foundation/catalog/ai/compress-ml-models-for-inference,“Optimizing the size of the AI/ML model can save on storage space and take up less memory. Apply strategies like quantization and evaluate the optimization changes against the desired accuracy.”
GSF.AI.2,Use efficient file formats for AI/ML development,Artificial Intelligence (AI),https://patterns.greensoftware.foundation/catalog/ai/efficent-format-for-model-training,"Use efficient file formats for building your ML models. For instance, column-oriented data file formats like Parquet provide efficient data storage and retrieval as compared to formats like CSV."
GSF.AI.3,Run AI models at the edge,Artificial Intelligence (AI),https://patterns.greensoftware.foundation/catalog/ai/energy-efficent-ai-edge,"“Evaluate and run AI models at the edge, based on your application requirements. Also running data and compute processing tasks (i.e. data cleansing, feature generation) directly on the edge resources, ensure better utilization, and low latency and limit the transfer of data over the network to the cloud.”"
GSF.AI.4,Select a more energy efficient AI/ML framework,Artificial Intelligence (AI),https://patterns.greensoftware.foundation/catalog/ai/energy-efficent-framework,"„Evaluate and select an energy-efficient framework/module for AI/ML development, training and inference.“"
GSF.AI.5,Use energy efficient AI/ML models,Artificial Intelligence (AI),https://patterns.greensoftware.foundation/catalog/ai/energy-efficent-models,"„Evaluate energy efficient AI/ML models for development and inference. For example, DistilBERT provides similar functionality to the BERT model, running 60% faster while preserving 97% of BERT's performance. GPT-Neo 125M provides balanced results for energy consumption and accuracy compared to GPT-J 6B or GPT Neo 2.7B models.”"
GSF.AI.6,Use sustainable regions for AI/ML training,Artificial Intelligence (AI),https://patterns.greensoftware.foundation/catalog/ai/leverage-sustainable-regions,„Use a cloud region which has a lower carbon intensity value for running your AI/ML training workloads.“
GSF.AI.7,Leverage pre-trained models and transfer learning for AI/ML development,Artificial Intelligence (AI),https://patterns.greensoftware.foundation/catalog/ai/pre-trained-transfer-learning,„Evaluate and select pre-trained models and use transfer learning to avoid training a new model from scratch.”
GSF.AI.8,Select the right hardware/VM instance types for AI/ML training,Artificial Intelligence (AI),https://patterns.greensoftware.foundation/catalog/ai/right-hardware-type,„Evaluate and leverage the right hardware/VM instance types for training and inference of AI/ML development.”
GSF.AI.9,Adopt serverless architecture for AI/ML workload processes,Artificial Intelligence (AI),https://patterns.greensoftware.foundation/catalog/ai/serverless-model-development,"„Adopt a serverless architecture for maximum resource utilization for your entire AI/ML model development process like data pipeline, training and experiments. Going serverless ensures the resources are launched only when required.”"
GSF.C.1,Cache static data,Cloud,https://patterns.greensoftware.foundation/catalog/cloud/cache-static-data,"„Caching static data, such as images or audio, instead of transferring it over the network.”"
GSF.C.2,Choose the region that is closest to users,Cloud,https://patterns.greensoftware.foundation/catalog/cloud/choose-region-closest-to-users,„Choose a region that is the closest to the majority of where the network packets are going.”
GSF.C.3,"Compress transmitted data
    ",Cloud,https://patterns.greensoftware.foundation/catalog/cloud/compress-transmitted-data,“Minimise the size of data transmitted by compressing files or payloads.”
GSF.C.4,Delete unused storage resources,Cloud,https://patterns.greensoftware.foundation/catalog/cloud/delete-unused-storage-resources,„Delete any unused storage resource”
GSF.C.5,Encrypt what is necessary,Cloud,https://patterns.greensoftware.foundation/catalog/cloud/encrypt-what-is-necessary,"„1. Carefully consider the sensitivity of the data that the application processes to understand if encryption is needed or not. 2. Revise policy of what is considered sensitive and understand which environments can impact this sensitivity. 3. Choose the appropriate algorithm and number of iterations in case of hashing, based on your application's performance and security needs.”"
