ID,Keywords,BPM Relevance,BPM Justification,BPM Lifecycle,Discussion
W3C.UX.4,Early Prototyping,2,Sehr schwer einzuschätzen,"Design, Modeling",
W3C.UX.3,Third-Party Emissions,5,Je nach fachlicher Domäne und Prozess ist das hochrelevant,"Design, Modeling, Execution, Analysis",
W3C.UX.1,UX,1,Eher web relevant,-,
W3C.UX.5,Stakeholders,3,Überall relevant,"Design, Modeling",
W3C.UX.2,User Preferences,1,Eher web relevant,-,
W3C.UX.8,UX,1,Eher web relevant,-,
W3C.UX.9,UX,1,Eher web relevant,-,
W3C.UX.7,Data Reduction,1,Eher web relevant,-,
W3C.UX.11,Dark Patterns,1,Eher web relevant,-,
W3C.UX.6,Data Reduction,1,Eher web relevant,-,
W3C.UX.12,Data Format,1,Eher irrelevant,-,
W3C.UX.10,UX,1,Eher web relevant,-,
W3C.UX.13,Achitecture,3,Überall relevant,"Modeling, Design",
W3C.UX.17,Data Format,1,Eher irrelevant,"Modeling, Execution",
W3C.UX.14,User Preferences,1,Eher web relevant,"Modeling, Execution",
W3C.UX.18,Data Format,1,Eher irrelevant,"Modeling, Execution",
W3C.UX.19,User Preferences,1,Schwer zu beurteilen,"Modeling, Execution",
W3C.UX.15,Data Format,1,Eher irrelevant,"Modeling, Execution",
W3C.UX.16,Data Format,1,Eher irrelevant,"Modeling, Execution",
W3C.UX.25,Regression Testing,2,Je nach Projekt,Execution,
W3C.UX.23,Printing,1,Eher web relevant,-,
W3C.UX.26,Performance Testing,3,Überall relevant,"Modeling, Execution, Analysis",
W3C.UX.21,Accessibility,2,Schwer einzuschätzen,"Design, Modeling",
W3C.UX.20,User Preferences,1,Schwer zu beurteilen,"Modeling, Execution",
W3C.UX.22,Navigation,1,Eher web relevant,-,
W3C.UX.24,Stakeholders,3,Überall relevant,"Modeling, Execution, Analysis",
W3C.WEBDEV.2,Data Reduction,1,Eher web relevant,-,
W3C.UX.29,Compatibility,2,Je nach Projekt,Execution,
W3C.UX.27,Value Testing,3,Überall relevant,"Modeling, Execution, Analysis",
W3C.WEBDEV.1,Performance,3,Überall relevant,"Modeling, Execution, Analysis",
W3C.WEBDEV.3,Code Reduction,1,Eher web relevant,-,
W3C.UX.28,Usability ,2,Je nach Projekt,Execution,
W3C.WEBDEV.4,Code Reduction,3,"Immer wertvoll, aber nicht speziell BPM relevant","Design, Modeling",
W3C.WEBDEV.9,Blocking,1,Eher web relevant,-,
W3C.WEBDEV.7,Third-Party Applications,5,Speziell wenn ich an Camunda 8 Connectoren denke ist das hoch relevant,"Modeling, Execution, Analysis",
W3C.WEBDEV.8,Data Reduction,1,Eher web relevant,-,
W3C.WEBDEV.10,Navigation,1,Eher web relevant,-,
W3C.WEBDEV.5,Accessibility,2,Schwer einzuschätzen,"Design, Modeling",
W3C.WEBDEV.6,Code Duplication,2,"Je nachdem, Prozesse wiederverwenden ist relevant","Design, Modeling",
W3C.WEBDEV.18,SEO,1,"Eher irrelevant, aber hier stellt sich mir direkt die Frage wie sehr sich sowas wirklich als Nachhaltigkeitsaspekt sehen lässt","Modeling, Execution",
W3C.WEBDEV.11,Validation,1,Sollte eigentlich immer gemacht werden ?,-,
W3C.WEBDEV.16,Security,3,Always important,"Modeling, Execution, Analysis",
W3C.WEBDEV.14,Devices,3,Je nach Fall kann es einen unterschied machen wenn Custom Frontends verwendet werden,"Modeling, Execution",
W3C.WEBDEV.12,SEO,1,"Eher irrelevant, aber hier stellt sich mir direkt die Frage wie sehr sich sowas wirklich als Nachhaltigkeitsaspekt sehen lässt","Modeling, Execution",
W3C.WEBDEV.15,Best Practices,1,Eher irrelevant,Modeling,
W3C.WEBDEV.17,Code on Demand,2,Wenn ein Custom Frontend gemacht wird ist es schon relevant darauf zu achten dass man seine Webseite nicht zu sehr auf Code on Demand setzt,"Modeling, Execution",
