ID,Keywords,BPM Relevance,BPM Justification,BPM Lifecycle,Discussion
MA.DESIGN.1,"Architecture, Scaling, Microservices",4,Skalierung der Worker ist hoch relevant,"Modeling, Execution",
MA.DESIGN.2,"Architecture, Messaging, Reduce Messages, Data Reduction",4,Können viele kleine Taskworker zusammengefasst werden ?,"Modeling, Execution",
MA.DESIGN.3,"Backwards Compatibility, Legacy Devices, Legacy Systems",2,Eher UI,Execution,
MA.DESIGN.4,"Cloud-Native, Resource Utilization",3,Skalierung der Worker ist hoch relevant,"Modeling, Execution",
MA.DESIGN.5,"Circuit-Breaker, Resiliency",3,"Schwierig, ein Prozess sollte sich über sowas nicht Gedanken machen müssen sondern die unterliegende Softwarelandschaft. Aber Prozesse sollten resilient sein wenn Fehler auftreten",Execution,
MA.DESIGN.6,"CPU Usage, Efficient Algorithms",3,"Eher relevant für Worker in erster Linie, jedoch können ineffiziente Prozessmodelle auch sehr großen Impact haben.","Modeling, Execution",
MA.DESIGN.7,"Queueing, Buffering, Batch Processing",4,Falls fachlich möglich können Prozesse so designt werden dass diese eher einem Batchprocessing folgen anstatt pro Request eine Instanz erzeugen,"Design, Modeling",
MA.DESIGN.8,"Client-Side Rendering, Server-Side Rendering",1,Alles mehr UI lastig,-,
MA.DESIGN.10,UX,1,Alles mehr UI lastig,-,
MA.DESIGN.9,Legacy Systems,2,"Immer wichtig, nicht BPM relevant",-,
MA.PLATFORM.1,"Platform, Software Updates",3,"Schwieriges Thema, speziell in Bezug auf Camunda 7 vs. 8 scheint 8 ja nicht unbedingt effizienter zu sein",Execution,
MA.PLATFORM.2,Regions,3,Relevant für jegliche Software in der Cloud,Execution,
MA.PLATFORM.3,"Regions, Time-shifting",5,Carbon Reductor und so ;),"Execution, Modeling",
MA.PLATFORM.4,Regions,2,Eher allgemein relevant,Execution,
MA.PLATFORM.5,"Time-shifting, Batch Processing",5,Hoch relevant,"Design, Modeling, Execution",
MA.PLATFORM.6,"Deployment, Containerization, Resource Utilization",1,Allgemein wichtig im Cloudkontext,"Modeling, Execution",
MA.PLATFORM.7,"Deployment, PaaS, Serverless",3,"Allgemein wichtig im Cloudkontext, jedoch spannend und kompliziert im Serverless/FaaS-Kontext","Modeling, Execution",
MA.PLATFORM.8,"Spot Instances, Deployment",3,"Allgemein wichtig im Cloudkontext, können aber Spot-instanzen die Performance beeinflussen weil die ein wenig länger zum hochfahren brauchen ?","Modeling, Execution",
MA.PLATFORM.9,"Right Sizing, Turn-Off",1,Allgemein wichtig im Cloudkontext,"Modeling, Execution",
MA.PLATFORM.10,"Scaling, Bursting",1,Allgemein wichtig im Cloudkontext,"Modeling, Execution",
MA.PLATFORM.11,Scaling,1,Allgemein wichtig im Cloudkontext,"Modeling, Execution",
MA.PLATFORM.12,CPU Architecture,1,Allgemein wichtig im Cloudkontext,Execution,
MA.PLATFORM.13,Scaling,1,Allgemein wichtig im Cloudkontext,Execution,
MA.TESTING.1,Time-Shifting,1,Allgemein wichtig im Entwicklungskontext,-,
MA.TESTING.2,"Scaling, Continuous Integration, Continuous Deployment",1,Allgemein wichtig im Entwicklungskontext,-,
MA.TESTING.3,"Caching, Continuous Integration, Continuous Deployment",1,Allgemein wichtig im Entwicklungskontext,-,
MA.TESTING.4,"Code Repository, Continuous Integration, Continuous Deployment",1,Allgemein wichtig im Entwicklungskontext,-,
