ID,Name,Reference,Guideline
W3C.UX.1,"Identify, assess, disclose, review, and mitigate sustainability impacts",https://www.w3.org/TR/web-sustainability-guidelines/#identify-assess-disclose-review-and-mitigate-sustainability-impacts,"Assess and report the planet, people, and prosperity impacts of digital projects, and plan measurable reductions to the real-world effects of their activity."
W3C.UX.2,Understand user requirements or constraints,https://www.w3.org/TR/web-sustainability-guidelines/#understand-user-requirements-or-constraints,"Identify and involve users and affected communities, and research their needs."
W3C.UX.3,Integrate sustainability into every stage of the ideation process,https://www.w3.org/TR/web-sustainability-guidelines/#integrate-sustainability-into-every-stage-of-the-ideation-process,"Design and review sustainable branding and experiences, involve users throughout the process, and reduce unnecessary development and environmental impact through early testing and environmentally aware design."
W3C.UX.4,Design efficient and streamlined user journeys,https://www.w3.org/TR/web-sustainability-guidelines/#design-efficient-and-streamlined-user-journeys,"Design clear, efficient journeys that help users complete tasks and find content with minimal effort."
W3C.UX.5,Design to assist and not to distract,https://www.w3.org/TR/web-sustainability-guidelines/#design-to-assist-and-not-to-distract,"Give users control over notifications and focus, prioritize task-relevant content, and avoid designs that distract or unnecessarily extend engagement."
W3C.UX.6,Avoid being manipulative or deceptive,https://www.w3.org/TR/web-sustainability-guidelines/#avoid-being-manipulative-or-deceptive,"Avoid deceptive patterns, clearly label ads, respect consent for tracking, and ensure search, sharing, and discoverability practices prioritize user needs over optimization or manipulation."
W3C.UX.7,Make deliverables understandable and reusable,https://www.w3.org/TR/web-sustainability-guidelines/#make-deliverables-understandable-and-reusable,"Create discoverable, maintainable, and reusable documentation and code resources that support long-term understanding, reuse, and sustainability."
W3C.UX.8,Use a design system for interface consistency,https://www.w3.org/TR/web-sustainability-guidelines/#use-a-design-system-for-interface-consistency,"Use design systems and established patterns to ensure consistent, efficient, and sustainable interfaces through reusable components and clear maintenance practices."
W3C.UX.9,Optimize media to reduce resource use,https://www.w3.org/TR/web-sustainability-guidelines/#optimize-media-to-reduce-resource-use,"Include media only when it supports user needs. Manage, optimize, and load media efficiently. Ensure users have control over playback and data use."
W3C.UX.10,Ensure animation is proportionate and easy to control,https://www.w3.org/TR/web-sustainability-guidelines/#ensure-animation-is-proportionate-and-easy-to-control,"Use animation sparingly and efficiently, only when it supports understanding, while limiting performance impact and giving users control over motion."
W3C.UX.11,Use optimized web typography,https://www.w3.org/TR/web-sustainability-guidelines/#use-optimized-web-typography,Use font strategies that minimize downloads and complexity while supporting required languages and dynamic content.
W3C.UX.12,Avoid unwanted notifications,https://www.w3.org/TR/web-sustainability-guidelines/#avoid-unwanted-notifications,"Send only user-requested notifications and provide clear, accessible controls for managing preferences, opt-in, and account and contact settings."
W3C.UX.13,Reduce the impact of downloadable and physical documents,https://www.w3.org/TR/web-sustainability-guidelines/#reduce-the-impact-of-downloadable-and-physical-documents,"Reduce paper use through digital-first workflows, optimize and reuse accessible downloadable documents, and provide clear, user-controlled document previews and formats."
W3C.UX.14,Involve users early in the project,https://www.w3.org/TR/web-sustainability-guidelines/#involve-users-early-in-the-project,Define and validate prototypes and interface components through user testing to ensure they work effectively in real-world use cases and across diverse user needs.
W3C.UX.15,Audit and test for bugs or issues requiring resolution,https://www.w3.org/TR/web-sustainability-guidelines/#audit-and-test-for-bugs-or-issues-requiring-resolution,"Regularly audit for issues or problems, running tests at regular intervals in both simulated and real-world scenarios to ensure stability of the project."
W3C.UX.16,Validate usability through testing and real-world usage,https://www.w3.org/TR/web-sustainability-guidelines/#validate-usability-through-testing-and-real-world-usage,"Monitor user feedback and real usage to evaluate feature effectiveness, and use usability testing and user research to guide ongoing improvements."
W3C.UX.17,Provide cross-platform compatibility support,https://www.w3.org/TR/web-sustainability-guidelines/#provide-cross-platform-compatibility-support,"Document compatibility, avoid unnecessary obsolescence, and test across devices, systems, and network conditions."
W3C.WEBDEV.1,Set goals based on performance and energy impact,https://www.w3.org/TR/web-sustainability-guidelines/#set-goals-based-on-performance-and-energy-impact,"Define performance and environmental targets, and design content with awareness of the relative energy and processing cost."
W3C.WEBDEV.2,Minify and remove unused code,https://www.w3.org/TR/web-sustainability-guidelines/#minify-and-remove-unused-code,"Minify code and data, and remove unused characters to reduce file size and improve loading efficiency and maintainability."
W3C.WEBDEV.3,Modularize bandwidth-heavy components,https://www.w3.org/TR/web-sustainability-guidelines/#modularize-bandwidth-heavy-components,"Split large components into smaller, on-demand modules to improve loading efficiency while balancing maintainability and caching performance."
W3C.WEBDEV.4,Avoid redundancy and duplication in code,https://www.w3.org/TR/web-sustainability-guidelines/#avoid-redundancy-and-duplication-in-code,"Reduce code duplication through refactoring and reuse, ensure maintainability, and favor evolving existing solutions over rebuilding them."
W3C.WEBDEV.5,Treat third parties the same as first parties,https://www.w3.org/TR/web-sustainability-guidelines/#treat-third-parties-the-same-as-first-parties,"Minimize and carefully manage third-party services by using lightweight, user-controlled integrations that are loaded only when needed."
W3C.WEBDEV.6,Ensure code follows good semantic practices,https://www.w3.org/TR/web-sustainability-guidelines/#ensure-code-follows-good-semantic-practices,"Use standards-compliant HTML and web platform features, and avoid unnecessary complexity or non-standard code."
W3C.WEBDEV.7,Defer the loading of non-critical resources,https://www.w3.org/TR/web-sustainability-guidelines/#defer-the-loading-of-non-critical-resources,Load non-essential assets asynchronously or with prioritization to improve rendering performance and avoid visual issues.
W3C.WEBDEV.8,Structure metadata for machine readability,https://www.w3.org/TR/web-sustainability-guidelines/#structure-metadata-for-machine-readability,"Include essential document metadata and structured data to improve usability, accessibility, and machine readability."
W3C.WEBDEV.9,Use media queries that support sustainability goals,https://www.w3.org/TR/web-sustainability-guidelines/#use-media-queries-that-support-sustainability-goals,"Support user preferences via media queries for color, motion, contrast, data use, and related settings to improve accessibility and efficiency."
W3C.WEBDEV.10,Ensure layouts work for different devices and requirements,https://www.w3.org/TR/web-sustainability-guidelines/#ensure-layouts-work-for-different-devices-and-requirements,"Use responsive, progressively enhanced, and carbon-aware design to ensure accessible, adaptable functionality across devices and interaction methods while managing resource use."
W3C.WEBDEV.11,Use sustainable JavaScript and APIs,https://www.w3.org/TR/web-sustainability-guidelines/#use-sustainable-javascript-and-apis,"Write efficient JavaScript and use APIs that minimize processing, data use, and energy consumption."
W3C.WEBDEV.12,Use dependencies sparingly and maintain them,https://www.w3.org/TR/web-sustainability-guidelines/#use-dependencies-sparingly-and-maintain-them,"Regularly review dependencies, remove unused or unnecessary libraries and frameworks, and keep required packages up to date. Opt for minimal, secure, and modular solutions."
W3C.WEBDEV.13,Include expected and beneficial files,https://www.w3.org/TR/web-sustainability-guidelines/#include-expected-and-beneficial-files,"Include standard website metadata and configuration files to support discoverability, transparency, and operational best practices."
W3C.WEBDEV.14,Use the most efficient solution for your service,https://www.w3.org/TR/web-sustainability-guidelines/#use-the-most-efficient-solution-for-your-service,"Choose lightweight, efficient implementation approaches that balance effort, performance, and environmental impact while favoring simple, native, and static solutions."
W3C.WEBDEV.15,Use the latest stable language version,https://www.w3.org/TR/web-sustainability-guidelines/#use-the-latest-stable-language-version,Use up-to-date technologies and select the most suitable programming language for each task to ensure efficiency and maintainability.
W3C.WEBDEV.16,Reduce the number and complexity of database queries,https://www.w3.org/TR/web-sustainability-guidelines/#reduce-the-number-and-complexity-of-database-queries,"Optimize database use by minimizing and scoping queries, reducing repeated requests, and applying data governance practices."
W3C.HOSTING.1,Use sustainable hosting,https://www.w3.org/TR/web-sustainability-guidelines/#use-sustainable-hosting,"Select and manage infrastructure using sustainability metrics, prioritizing low-carbon energy use and low-impact hosting and domain choices in selection, and extending hardware lifespan and minimising emissions in management."
W3C.HOSTING.2,Optimize caching and support offline access,https://www.w3.org/TR/web-sustainability-guidelines/#optimize-caching-and-support-offline-access,"Use caching and offline capabilities to reduce network load, improve resilience, and balance performance with sustainability."
W3C.HOSTING.3,Reduce data transfer with compression,https://www.w3.org/TR/web-sustainability-guidelines/#reduce-data-transfer-with-compression,"Compress server responses and media files to reduce bandwidth, storage use, and delivery overhead while balancing processing costs."
W3C.HOSTING.4,Setup necessary error pages and redirection links,https://www.w3.org/TR/web-sustainability-guidelines/#setup-necessary-error-pages-and-redirection-links,Provide clear error handling and ensure broken links are either fixed or redirected to destinations to prevent navigation issues.
W3C.HOSTING.5,Avoid maintaining unnecessary virtualized environments or containers,https://www.w3.org/TR/web-sustainability-guidelines/#avoid-maintaining-unnecessary-virtualized-environments-or-containers,Remove unnecessary virtualized environments to improve efficiency and maintainability.
W3C.HOSTING.6,Use automation wisely,https://www.w3.org/TR/web-sustainability-guidelines/#use-automation-wisely,"Automate and scale tasks and infrastructure efficiently, run processes only when needed, and control unwanted traffic."
W3C.HOSTING.7,Define the frequency of data refreshes,https://www.w3.org/TR/web-sustainability-guidelines/#define-the-frequency-of-data-refreshes,Decide when to refresh data based on a balance of user and sustainability requirements.
W3C.HOSTING.8,Back up critical data at routine intervals,https://www.w3.org/TR/web-sustainability-guidelines/#back-up-critical-data-at-routine-intervals,Back up data at regular intervals to ensure that there are failsafes that can be relied upon should an issue occur.
W3C.HOSTING.9,Assess the impact and requirements of data processing,https://www.w3.org/TR/web-sustainability-guidelines/#assess-the-impact-and-requirements-of-data-processing,"Use carbon-aware scheduling, efficient and secure protocols, and simple system designs to reduce unnecessary processing while balancing performance, security, and constraints."
W3C.HOSTING.10,Use Content Delivery Networks (CDNs) when beneficial,https://www.w3.org/TR/web-sustainability-guidelines/#use-content-delivery-networks-cdns-when-beneficial,"Use CDNs and data location strategically for static content and processing only when they improve efficiency and sustainability, while avoiding unnecessary distribution and transfers."
W3C.HOSTING.11,Ensure infrastructure fits project requirements,https://www.w3.org/TR/web-sustainability-guidelines/#ensure-infrastructure-fits-project-requirements,"Use demand-matched, autoscaling infrastructure to meet demand efficiently without overprovisioning."
W3C.HOSTING.12,Store data according to the needs of your users,https://www.w3.org/TR/web-sustainability-guidelines/#store-data-according-to-the-needs-of-your-users,"Regularly manage and reduce stored data (including content, logs, media, and downloads) using retention, compression, and lifecycle policies, while maintaining efficient access to long-term assets."
W3C.BIZ.1,Have an ethical and sustainable product strategy,https://www.w3.org/TR/web-sustainability-guidelines/#have-an-ethical-and-sustainable-product-strategy,"Implement organizational practices around ethics, sustainability, and responsible data use. Publish and maintain policies that demonstrate their implementation."
W3C.BIZ.2,Assign a sustainability advocate,https://www.w3.org/TR/web-sustainability-guidelines/#assign-a-sustainability-advocate,Appoint a sustainability advocate who is provided with what they require to speak about and for issues relating to sustainability.
W3C.BIZ.3,"Inform, raise awareness, and train for sustainability",https://www.w3.org/TR/web-sustainability-guidelines/#inform-raise-awareness-and-train-for-sustainability,"Provide ongoing training, onboarding, and guidance on sustainability practices, and support participation in sustainability initiatives through clear materials, knowledge sharing, and organizational encouragement."
W3C.BIZ.4,Communicate the environmental impact of user choices,https://www.w3.org/TR/web-sustainability-guidelines/#communicate-the-environmental-impact-of-user-choices,"Empower users, allowing them to make decisions when their choices can influence the environmental impact they have."
W3C.BIZ.5,Calculate the environmental impact,https://www.w3.org/TR/web-sustainability-guidelines/#calculate-the-environmental-impact,"Assess and compare full life cycle environmental impacts, including those of third-party services, to inform sustainable design decisions."
W3C.BIZ.6,Define clear organizational sustainability goals and metrics,https://www.w3.org/TR/web-sustainability-guidelines/#define-clear-organizational-sustainability-goals-and-metrics,"Define measurable sustainability goals and metrics, and communicate progress over time."
W3C.BIZ.7,Validate web sustainability efforts through external verification,https://www.w3.org/TR/web-sustainability-guidelines/#validate-web-sustainability-efforts-through-external-verification,Use independent verification to support and improve sustainability claims.
W3C.BIZ.8,Support mandatory disclosures and reporting,https://www.w3.org/TR/web-sustainability-guidelines/#support-mandatory-disclosures-and-reporting,"Publish transparent, standards-aligned sustainability reports that track progress over time and clearly explain real impact reductions without misleading reporting."
W3C.BIZ.9,Create one or more impact business models,https://www.w3.org/TR/web-sustainability-guidelines/#create-one-or-more-impact-business-models,Describe how revenue generation supports environmental and social outcomes.
W3C.BIZ.10,Follow a product management and maintenance strategy,https://www.w3.org/TR/web-sustainability-guidelines/#follow-a-product-management-and-maintenance-strategy,"Maintain clear documentation, resourcing, and measurement practices for long-term product support, including security, sustainability, and early detection of failure risks."
W3C.BIZ.11,Implement continuous improvement procedures,https://www.w3.org/TR/web-sustainability-guidelines/#implement-continuous-improvement-procedures,"Maintain continuous improvement processes that balance feature changes, maintenance, and updates with user value and sustainability outcomes."
W3C.BIZ.12,Document updates and evolutions,https://www.w3.org/TR/web-sustainability-guidelines/#document-updates-and-evolutions,Provide documentation to help users find their way whenever functionality changes.
W3C.BIZ.13,Evaluate if a digital product or service is necessary,https://www.w3.org/TR/web-sustainability-guidelines/#evaluate-if-a-digital-product-or-service-is-necessary,"Assess alignment with sustainability goals, validate product need, and reduce barriers to access, usability, and fairness."
W3C.BIZ.14,Provide a supplier standards of practice document,https://www.w3.org/TR/web-sustainability-guidelines/#provide-a-supplier-standards-of-practice-document,"Select and work with suppliers based on sustainability principles, measure their impact, and transparently publish partnership outcomes."
W3C.BIZ.15,Share economic benefits,https://www.w3.org/TR/web-sustainability-guidelines/#share-economic-benefits,"Commit to fair pay, align workers and contractors with shared impact goals, and provide employee benefits within available resources."
W3C.BIZ.16,Share decision-making power with affected parties,https://www.w3.org/TR/web-sustainability-guidelines/#share-decision-making-power-with-affected-parties,"Involve users and staff in decision-making, ensure human oversight, and provide transparency, and create challenge mechanisms for automated decisions."
W3C.BIZ.17,"Use Diversity, Equity, Justice, Inclusion (DEJI) practices",https://www.w3.org/TR/web-sustainability-guidelines/#use-diversity-equity-justice-inclusion-deji-practices,"Publish and act on Diversity, Equity, Justice, Inclusion (DEJI) and accessibility commitments, support training and measurable progress, and ensure inclusive outcomes across products and operations."
W3C.BIZ.18,Promote responsible data practices,https://www.w3.org/TR/web-sustainability-guidelines/#promote-responsible-data-practices,"Respect user data rights and manage data lifecycle through minimized collection, user control, portability, deletion, and content archiving."
W3C.BIZ.19,Establish responsible practices around AI and emerging or disruptive technologies,https://www.w3.org/TR/web-sustainability-guidelines/#establish-responsible-practices-around-ai-and-emerging-or-disruptive-technologies,"Ensure responsible use of automated systems by only using ethically sourced and suitably sized data and models, managing environmental impacts, supporting workforce adaptation, respecting user agent controls, and using post-quantum encryption only where justified."
W3C.BIZ.20,Adopt responsible financial practices,https://www.w3.org/TR/web-sustainability-guidelines/#adopt-responsible-financial-practices,Adopt responsible financing practices by divesting from high-carbon assets and aligning budgeting and financial partnerships with long-term sustainability.
W3C.BIZ.21,Adopt organizational philanthropy practices,https://www.w3.org/TR/web-sustainability-guidelines/#adopt-organizational-philanthropy-practices,"Align partnerships and corporate giving with the organization's purpose, and support skill-building voluntary and pro bono work through clear partnership and giving policies."
W3C.BIZ.22,Plan for a digital product or service's care and end-of-life,https://www.w3.org/TR/web-sustainability-guidelines/#plan-for-a-digital-product-or-service-s-care-and-end-of-life,Document when a project is shut down and make users aware of what will happen to their data.
W3C.BIZ.23,"Repair, reuse, refurbish, recycle or reduce e-waste",https://www.w3.org/TR/web-sustainability-guidelines/#repair-reuse-refurbish-recycle-or-reduce-e-waste,"Prioritize repair, reuse, refurbishment, and responsible recycling of hardware and e-waste through certified services, including supporting users doing repairs."
