ID,Name,Category,Reference,Guideline
LEAN.VSM.1,Green Value Stream Mapping,Value Stream Mapping,https://www.lean.org/the-lean-post/articles/how-lean-can-help-you-go-green/,"When mapping a process as a value stream, add environmental metrics (energy, water, materials, emissions) alongside the usual time, cost, and quality data at each step, making environmental waste visible enough to challenge and target for removal the same way a conventional value stream map exposes delay and rework."
LEAN.VSM.2,Track Environmental Metrics Per Process,Value Stream Mapping,https://www.epa.gov/sustainability/lean-environment-toolkit-chapter-1,"Different processes generate different kinds of environmental impact (e.g. chemical use in one process, water consumption in another), so choose which environmental metrics to track based on the specific process being analyzed rather than applying one fixed set of indicators everywhere."
LEAN.WASTE.1,Eighth (Environmental) Waste Category,Waste Identification,https://www.epa.gov/sustainability/lean-environment-toolkit-chapter-2,"Extend the classic Lean waste categories with an explicit environmental-waste category during process analysis, so unnecessary energy, water, or material use and pollutant releases get flagged as waste alongside delay, defects, and overproduction rather than treated as a separate concern."
LEAN.WASTE.2,Seven Green Wastes Taxonomy,Waste Identification,https://www.lean.org/the-lean-post/articles/how-lean-can-help-you-go-green/,"Classify environmental waste found at each process step into a structured taxonomy - energy, water, materials, garbage, transportation, emissions, and biodiversity impact - mirroring Ohno's seven wastes, so environmental issues can be analyzed with the same rigor as time and cost waste."
LEAN.WASTE.3,Gemba-Based Environmental Process Walk,Waste Identification,https://www.lean.org/the-lean-post/articles/how-lean-can-help-you-go-green/,"Walk the actual process step by step (a green gemba walk) to directly observe and quantify environmental waste as it occurs, then convert those observations into an annualized cost figure to justify and prioritize specific process countermeasures."
LEAN.MONITOR.1,Visual Control for Environmental Performance,Process Monitoring,https://www.epa.gov/sustainability/lean-environment-toolkit-chapter-2,"Display each process or work area's performance against environmental targets on the same visual control boards used for operational metrics, so environmental performance is monitored continuously and as visibly as throughput or quality."
LEAN.CI.1,Evaluate Environmental Impact in Every Process Improvement,Continuous Improvement,https://www.epa.gov/sustainability/lean-environment-toolkit-chapter-1,"When applying standard process-improvement techniques to reduce time, cost, or redundant steps, explicitly evaluate the environmental side-effects of the change too, since improvements aimed purely at speed or cost often shift resource use or emissions without anyone tracking it."
LEAN.CI.2,Environmental Checklist in Process Review Events,Continuous Improvement,https://www.epa.gov/sustainability/lean-environment-toolkit-chapter-2,"Give process-improvement teams a short checklist of environmental wastes common to their type of process, for them to reference during kaizen-style review events so environmental issues aren't missed for lack of anyone thinking to look."
LEAN.DESIGN.1,Involve Environmental Expertise Early in Process Redesign,Process Design,https://www.epa.gov/sustainability/lean-environment-toolkit-chapter-1,"Bring environmental/EHS expertise into process redesign work from the start rather than after a new process design is finalized, so regulatory constraints and cleaner alternatives get identified while the design is still flexible instead of forcing rework later."
LEAN.DESIGN.2,"Weigh Lifecycle and Health Impact, Not Just Volume",Process Design,https://www.epa.gov/sustainability/lean-environment-toolkit-chapter-1,"When redesigning a process to reduce material or chemical use, also assess the lifecycle and health impact of what's still being used, since reducing volume alone can leave a process using less of something that is still highly toxic or persistent."
