ID,Name,Category,Reference,Guideline
GSF.ARCH.1,Adopt serverless architecture for AI/ML workload processes,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/serverless-model-development,Building an ML model takes significant computing resources that need to be optimized for efficient utilization; using serverless architecture for AI/ML workload processes helps match resource consumption to actual demand.
GSF.ARCH.2,Choose the region that is closest to users,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/choose-region-closest-to-users,"From an energy-efficiency perspective, it is better to shorten the distance a network packet travels so that less energy is required to transmit it, so choose the cloud region closest to your users."
GSF.ARCH.3,Containerize your workloads,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/containerize-your-workload-where-applicable,"Containerizing workloads enables better resource utilisation and bin packing, reducing unnecessary compute allocation and embodied carbon."
GSF.ARCH.4,Implement stateless design,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/implement-stateless-design,"Applications that consume large memory or on-disk data require larger VM sizes, especially for cloud computing, so designing components to be stateless allows them to be right-sized and scaled more efficiently."
GSF.ARCH.5,Queue non-urgent processing requests,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/queue-non-urgent-requests,"From a hardware-efficiency perspective, systems are more efficient when the impact of request spikes is minimised through even utilization, so non-urgent requests should be queued rather than processed immediately."
GSF.ARCH.6,Run AI models at the edge,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/run-ai-models-edge,"Deploy AI inference on edge devices or local infrastructure to reduce data transfer, network energy use, and reliance on centralised cloud compute."
GSF.ARCH.7,Scale logical components independently,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/scale-logical-components-independently,"Decomposing applications into independently scalable microservices allows each component to be right-sized for its own demand, avoiding over-provisioning of the whole system."
GSF.ARCH.8,Select efficient accelerators and instance types for AI workloads,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/efficient-hardware-ai-workloads,Match AI workloads to the most energy-efficient hardware accelerator or instance type available to improve utilisation and reduce energy consumption.
GSF.ARCH.9,Use on-demand execution for AI and agent workloads,Architecture,https://patterns.greensoftware.foundation/architecture/system-topology/on-demand-execution-ai-agent-workloads,Trigger AI and agent workloads only when needed using serverless or event-driven platforms to eliminate idle compute.
GSF.ARCH.10,Evaluate other CPU architectures,Architecture,https://patterns.greensoftware.foundation/architecture/technology-selection/evaluate-other-cpu-architectures,Applications are built with a software architecture that best fits the business need they are serving; evaluating alternative CPU architectures (e.g. ARM) can improve energy efficiency for a given workload.
GSF.ARCH.11,Use serverless cloud services,Architecture,https://patterns.greensoftware.foundation/architecture/technology-selection/use-serverless,"Serverless cloud services scale dynamically with demand and share infrastructure across many applications, improving overall utilization and reducing embodied carbon compared to dedicated infrastructure."
GSF.DESIGN.1,Prioritise system-first typography selection based on user needs,Design,https://patterns.greensoftware.foundation/design/system-first-typography-user-needs,"Align typography and component choices with actual user needs, preferring system fonts and existing assets over custom downloads to reduce unnecessary data transfer and rendering overhead."
GSF.DEV.1,Avoid an excessive DOM size,Development,https://patterns.greensoftware.foundation/development/web-performance/avoid-excessive-dom-size,"The greater the number of nodes defined in HTML, the greater the time spent processing and rendering each element, so keeping the DOM size small reduces energy used during rendering."
GSF.DEV.2,Avoid chaining critical requests,Development,https://patterns.greensoftware.foundation/development/web-performance/avoid-chaining-critical-requests,"Most web experiences require a lot of work from the user's browser; the greater the length of request chains and the larger the download sizes, the more significant the impact on page load performance and the energy required to render a page."
GSF.DEV.3,Avoid tracking unnecessary data,Development,https://patterns.greensoftware.foundation/development/data-handling/avoid-tracking-unnecessary-data,"User tracking, data collection and targeting in things like advertisements are responsible for significant energy use in many digital products and services, so only track data that is actually needed."
GSF.DEV.4,Cache static data,Development,https://patterns.greensoftware.foundation/development/data-handling/cache-static-data,"From an energy-efficiency perspective, it is better to reduce network traffic by reading data locally through a cache rather than accessing it remotely over the network."
GSF.DEV.5,Compress stored data,Development,https://patterns.greensoftware.foundation/development/data-handling/compress-stored-data,Storing uncompressed data wastes bandwidth and increases storage capacity requirements; applying appropriate compression reduces both.
GSF.DEV.6,Compress transmitted data,Development,https://patterns.greensoftware.foundation/development/data-handling/compress-transmitted-data,"From an energy-efficiency perspective, it is better to minimise the size of the data transmitted so that less energy is required because network traffic is reduced."
GSF.DEV.7,Defer offscreen images,Development,https://patterns.greensoftware.foundation/development/media-and-code-efficiency/defer-offscreen-images,"Web pages often include images that are not displayed on the first loaded screen and can thus be loaded dynamically (lazy-loaded) instead of upfront, reducing unnecessary data transfer."
GSF.DEV.8,Deprecate GIFs for animated content,Development,https://patterns.greensoftware.foundation/development/media-and-code-efficiency/deprecate-gifs,"A direct replacement for the GIF is the MP4 video format, which provides much smaller file sizes and higher quality at the same time, reducing bandwidth and storage use."
GSF.DEV.9,Enable text compression,Development,https://patterns.greensoftware.foundation/development/web-performance/enable-text-compression,"Web browsers often communicate with web servers in human-readable formats such as HTML, JavaScript, CSS and JSON; compressing these text responses reduces the amount of data transmitted."
GSF.DEV.10,Keep request counts low,Development,https://patterns.greensoftware.foundation/development/web-performance/keep-request-counts-low,"Accessing a web page usually retrieves an HTML file from the web server, which may then reference many additional resources the browser has to download; keeping the number of such requests low reduces network energy use."
GSF.DEV.11,Leverage pre-trained models and transfer learning,Development,https://patterns.greensoftware.foundation/development/pre-trained-transfer-learning,"Fine-tune existing pre-trained models instead of training from scratch to dramatically reduce the compute, energy, and time required for model development."
GSF.DEV.12,Minimize main thread work,Development,https://patterns.greensoftware.foundation/development/web-performance/minimize-main-thread-work,Long-running JavaScript on the browser's main thread underutilises multi-core CPUs; offloading heavy computations to Web Workers or server-side implementations reduces energy consumption.
