ID,Name,Category,Reference,Guideline
GCP.REGION.1,Understand the carbon intensity of cloud regions,Low-Carbon Regions,https://docs.cloud.google.com/architecture/framework/sustainability/low-carbon-regions#understand-carbon,"Learn how the Carbon-Free Energy (CFE) percentage metric measures the share of clean energy powering each region's grid on an hourly basis, so this data can inform region choices."
GCP.REGION.2,Incorporate CFE in your location-selection strategy,Low-Carbon Regions,https://docs.cloud.google.com/architecture/framework/sustainability/low-carbon-regions#incorporate-cfe,"Favor the cleanest available region for long-running workloads using the region picker's low-CO2 indicator, and enforce the choice with Organization Policy resource-location constraints."
GCP.REGION.3,Use time-of-day scheduling,Low-Carbon Regions,https://docs.cloud.google.com/architecture/framework/sustainability/low-carbon-regions#use-time-of-day,"Shift flexible, compute-intensive workloads such as training and batch inference to run when the local grid's carbon-free energy share is highest, cutting emissions without sacrificing performance."
GCP.AIML.1,Architect for energy efficiency by using TPUs,Optimize AI and ML Workloads,https://docs.cloud.google.com/architecture/framework/sustainability/ai-ml-energy-efficiency#architect_for_energy_efficiency_by_using_tpus,"Use Tensor Processing Units, purpose-built AI accelerators with higher computation per watt than general-purpose hardware, to cut energy use across training, inference, and cooling."
GCP.AIML.2,Follow the 4Ms best practices for resource selection,Optimize AI and ML Workloads,https://docs.cloud.google.com/architecture/framework/sustainability/ai-ml-energy-efficiency#resource-selection-best-practices,"Apply the Model, Machine, Mechanization, and Map framework -- efficient models, optimized processors, cloud deployment, and low-carbon regions -- to substantially cut the carbon footprint of ML workloads."
GCP.AIML.3,Select efficient AI models,Optimize AI and ML Workloads,https://docs.cloud.google.com/architecture/framework/sustainability/ai-ml-energy-efficiency#select_efficient_ai_models,"Default to the smallest model that meets accuracy requirements, such as a distilled variant, instead of automatically reaching for the largest available model."
GCP.AIML.4,"Use domain-specific, hyper-efficient solutions",Optimize AI and ML Workloads,https://docs.cloud.google.com/architecture/framework/sustainability/ai-ml-energy-efficiency#use_domain-specific_hyper-efficient_solutions,"Prefer specialized, pretrained models built for a narrow domain, such as geospatial or weather forecasting, over general-purpose foundation models, since they need far less compute."
GCP.AIML.5,Apply appropriate model compression techniques,Optimize AI and ML Workloads,https://docs.cloud.google.com/architecture/framework/sustainability/ai-ml-energy-efficiency#apply_appropriate_model_compression_techniques,"Reduce model size and energy use through pruning, quantization, or knowledge distillation while preserving acceptable accuracy."
GCP.AIML.6,Use specialized hardware,Optimize AI and ML Workloads,https://docs.cloud.google.com/architecture/framework/sustainability/ai-ml-energy-efficiency#use_specialized_hardware,Run training and inference on accelerators purpose-built for ML rather than general-purpose processors to gain multi-fold improvements in performance per watt.
GCP.AIML.7,Use parameter-efficient fine-tuning,Optimize AI and ML Workloads,https://docs.cloud.google.com/architecture/framework/sustainability/ai-ml-energy-efficiency#use_parameter-efficient_fine-tuning,"Fine-tune large models with techniques like LoRA that freeze most weights and train only small additional layers, cutting the cost and energy of adaptation versus full fine-tuning."
